company_id,company_name,cidb_grade,headcount_estimate,headcount_basis,multi_site_operations,named_blue_chip_clients,flagship_project_value_zar_m,has_marketing_or_comms_person,has_bd_or_commercial_manager,owner_reachable_and_decisive,trigger_type,trigger_age_months,trigger_evidence_url,open_vacancies_count,headcount_growth_observed,competitors_publishing_well_count,runs_paid_ads,exhibits_at_trade_shows,has_recent_press_release,site_redesigned_recently,website_exists,site_mobile_responsive,site_https,site_last_updated_years,site_page_count,linkedin_posts_last_90_days,visual_quality_rating_1_5,case_studies_count,project_photography_quality_1_5,has_enquiry_form,has_clear_cta,has_analytics_installed,has_physical_product_or_plant_worth_visualising,sells_configurable_equipment,decision_maker_identified,requires_french_or_offshore_delivery
SA-ENG-001,Systems Automation & Management (SAM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-002,Vertex Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-003,PCMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-004,AGE Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-005,CraigCor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-006,Am Systems Integrations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-007,4Sight OT Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-008,MechProTech (MPT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-009,IMS Engineering (Pty) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-010,GHH Mining Machines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-011,Tecman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-012,SDMM Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-013,B&W Instrumentation and Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-014,DGC Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-015,Greenpower Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-016,RenewEPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-017,Solar EPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-018,Keon Consulting Engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-019,Nyeleti Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-020,Tshedza Consulting Engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-021,Ndodana Consulting Engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-022,ROMH Consulting Engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-023,MBSA Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-024,LTE Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-ENG-025,GIBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-CON-001,Trencon Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-CON-002,Temi Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-CON-003,Ruwacon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-CON-004,WCB Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-CON-005,Spec Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-CON-006,Bakgaditse Group (Pty) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
